train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=2.7M
epoch 129/1000, train: loss=0.0333, val: psnr=29.7382, 6.9m 16.2h/125.5h
epoch 130/1000, train: loss=0.0331, val: psnr=29.4784, 7.5m 16.3h/125.5h
epoch 131/1000, train: loss=0.0334, val: psnr=29.8591, 7.5m 16.4h/125.5h
epoch 132/1000, train: loss=0.0330, val: psnr=29.7537, 7.5m 16.6h/125.5h
epoch 133/1000, train: loss=0.0332, val: psnr=29.6919, 7.5m 16.7h/125.5h
epoch 134/1000, train: loss=0.0333, val: psnr=29.7884, 7.6m 16.8h/125.5h
epoch 135/1000, train: loss=0.0330, val: psnr=29.7741, 6.8m 16.9h/125.4h
epoch 136/1000, train: loss=0.0336, val: psnr=30.1145, 7.5m 17.1h/125.4h
epoch 137/1000, train: loss=0.0327, val: psnr=29.6367, 7.5m 17.2h/125.4h
epoch 138/1000, train: loss=0.0333, val: psnr=29.3985, 7.5m 17.3h/125.4h
epoch 139/1000, train: loss=0.0333, val: psnr=29.6127, 7.6m 17.4h/125.4h
epoch 140/1000, train: loss=0.0333, val: psnr=29.7054, 7.5m 17.6h/125.4h
epoch 141/1000, train: loss=0.0329, val: psnr=29.8061, 7.4m 17.7h/125.4h
epoch 142/1000, train: loss=0.0327, val: psnr=29.4140, 7.1m 17.8h/125.4h
epoch 143/1000, train: loss=0.0327, val: psnr=29.8471, 7.5m 17.9h/125.4h
epoch 144/1000, train: loss=0.0330, val: psnr=29.7634, 7.5m 18.1h/125.4h
epoch 145/1000, train: loss=0.0330, val: psnr=29.1805, 7.6m 18.2h/125.4h
epoch 146/1000, train: loss=0.0334, val: psnr=29.7534, 7.6m 18.3h/125.4h
epoch 147/1000, train: loss=0.0326, val: psnr=30.0101, 7.6m 18.4h/125.4h
epoch 148/1000, train: loss=0.0332, val: psnr=29.7292, 7.0m 18.5h/125.3h
epoch 149/1000, train: loss=0.0328, val: psnr=29.8938, 7.6m 18.7h/125.3h
epoch 150/1000, train: loss=0.0333, val: psnr=29.6456, 7.6m 18.8h/125.3h
epoch 151/1000, train: loss=0.0327, val: psnr=29.8729, 7.6m 18.9h/125.3h
epoch 152/1000, train: loss=0.0326, val: psnr=29.6548, 7.6m 19.1h/125.3h
epoch 153/1000, train: loss=0.0332, val: psnr=30.2420, 7.6m 19.2h/125.3h
epoch 154/1000, train: loss=0.0333, val: psnr=29.7410, 6.9m 19.3h/125.3h
epoch 155/1000, train: loss=0.0334, val: psnr=29.6789, 7.6m 19.4h/125.3h
epoch 156/1000, train: loss=0.0326, val: psnr=29.4751, 7.6m 19.5h/125.3h
epoch 157/1000, train: loss=0.0328, val: psnr=29.6430, 7.7m 19.7h/125.3h
epoch 158/1000, train: loss=0.0329, val: psnr=29.6733, 7.6m 19.8h/125.3h
epoch 159/1000, train: loss=0.0331, val: psnr=29.6241, 7.6m 19.9h/125.3h
epoch 160/1000, train: loss=0.0332, val: psnr=29.5325, 6.9m 20.0h/125.3h
epoch 161/1000, train: loss=0.0326, val: psnr=29.5205, 7.6m 20.2h/125.3h
epoch 162/1000, train: loss=0.0330, val: psnr=29.8887, 7.7m 20.3h/125.3h
epoch 163/1000, train: loss=0.0335, val: psnr=29.9275, 7.7m 20.4h/125.3h
epoch 164/1000, train: loss=0.0328, val: psnr=29.7937, 7.6m 20.6h/125.3h
epoch 165/1000, train: loss=0.0329, val: psnr=29.9268, 7.6m 20.7h/125.3h
epoch 166/1000, train: loss=0.0328, val: psnr=29.8283, 7.1m 20.8h/125.3h
epoch 167/1000, train: loss=0.0328, val: psnr=29.7411, 5.5m 20.9h/125.1h
epoch 168/1000, train: loss=0.0328, val: psnr=29.6287, 7.3m 21.0h/125.1h
epoch 169/1000, train: loss=0.0330, val: psnr=29.4703, 7.3m 21.1h/125.0h
epoch 170/1000, train: loss=0.0328, val: psnr=30.3438, 7.4m 21.3h/125.0h
epoch 171/1000, train: loss=0.0330, val: psnr=29.5954, 7.3m 21.4h/125.0h
epoch 172/1000, train: loss=0.0328, val: psnr=29.9023, 7.4m 21.5h/125.0h
epoch 173/1000, train: loss=0.0330, val: psnr=29.8321, 7.5m 21.6h/125.0h
epoch 174/1000, train: loss=0.0325, val: psnr=29.7158, 6.0m 21.7h/124.9h
epoch 175/1000, train: loss=0.0328, val: psnr=29.7641, 7.6m 21.9h/124.9h
epoch 176/1000, train: loss=0.0330, val: psnr=29.8395, 7.6m 22.0h/124.9h
epoch 177/1000, train: loss=0.0327, val: psnr=29.6143, 7.6m 22.1h/124.9h
epoch 178/1000, train: loss=0.0329, val: psnr=29.8096, 7.6m 22.2h/124.9h
epoch 179/1000, train: loss=0.0329, val: psnr=29.6235, 7.6m 22.4h/124.9h
epoch 180/1000, train: loss=0.0327, val: psnr=29.9093, 6.8m 22.5h/124.9h
epoch 181/1000, train: loss=0.0329, val: psnr=29.7508, 7.5m 22.6h/124.9h
epoch 182/1000, train: loss=0.0326, val: psnr=29.7576, 7.5m 22.7h/124.9h
epoch 183/1000, train: loss=0.0329, val: psnr=29.8984, 7.6m 22.9h/124.9h
epoch 184/1000, train: loss=0.0328, val: psnr=30.0713, 7.6m 23.0h/124.9h
epoch 185/1000, train: loss=0.0327, val: psnr=29.9440, 7.6m 23.1h/124.9h
epoch 186/1000, train: loss=0.0327, val: psnr=29.7609, 7.2m 23.2h/124.9h
epoch 187/1000, train: loss=0.0323, val: psnr=29.8986, 7.1m 23.3h/124.8h
epoch 188/1000, train: loss=0.0330, val: psnr=29.8959, 7.6m 23.5h/124.8h
epoch 189/1000, train: loss=0.0326, val: psnr=29.7930, 7.5m 23.6h/124.8h
epoch 190/1000, train: loss=0.0331, val: psnr=29.7947, 7.5m 23.7h/124.8h
epoch 191/1000, train: loss=0.0325, val: psnr=29.8394, 7.5m 23.8h/124.8h
epoch 192/1000, train: loss=0.0324, val: psnr=29.9822, 7.5m 24.0h/124.8h
epoch 193/1000, train: loss=0.0324, val: psnr=29.7648, 6.9m 24.1h/124.8h
epoch 194/1000, train: loss=0.0327, val: psnr=29.9299, 7.5m 24.2h/124.8h
epoch 195/1000, train: loss=0.0325, val: psnr=29.7837, 7.5m 24.3h/124.8h
epoch 196/1000, train: loss=0.0327, val: psnr=30.0346, 7.6m 24.5h/124.8h
epoch 197/1000, train: loss=0.0329, val: psnr=29.5638, 7.6m 24.6h/124.8h
epoch 198/1000, train: loss=0.0328, val: psnr=29.9606, 7.6m 24.7h/124.8h
epoch 199/1000, train: loss=0.0325, val: psnr=29.6966, 6.8m 24.8h/124.8h
epoch 200/1000, train: loss=0.0328, val: psnr=29.8739, 7.6m 25.0h/124.8h
epoch 201/1000, train: loss=0.0323, val: psnr=29.7457, 7.6m 25.1h/124.8h
epoch 202/1000, train: loss=0.0319, val: psnr=30.1005, 7.6m 25.2h/124.8h
epoch 203/1000, train: loss=0.0321, val: psnr=29.9093, 7.6m 25.3h/124.8h
epoch 204/1000, train: loss=0.0322, val: psnr=29.7551, 7.6m 25.5h/124.8h
epoch 205/1000, train: loss=0.0324, val: psnr=29.7547, 6.8m 25.6h/124.8h
epoch 206/1000, train: loss=0.0322, val: psnr=29.9982, 7.6m 25.7h/124.8h
epoch 207/1000, train: loss=0.0322, val: psnr=29.8820, 7.7m 25.8h/124.8h
epoch 208/1000, train: loss=0.0319, val: psnr=29.6848, 7.6m 26.0h/124.8h
epoch 209/1000, train: loss=0.0322, val: psnr=29.8212, 7.7m 26.1h/124.8h
epoch 210/1000, train: loss=0.0324, val: psnr=29.7784, 7.7m 26.2h/124.8h
epoch 211/1000, train: loss=0.0317, val: psnr=29.6954, 7.0m 26.3h/124.8h
epoch 212/1000, train: loss=0.0321, val: psnr=29.7732, 7.6m 26.5h/124.8h
